
========== Fixed Pool ==========
VM ID	TYPE	Price($/year)	Total Allocation Time	Total Incurred Cost($/year)
Total cost for fixed pool in $ per year: 0.0

========== Floating Pool ==========
VM ID	TYPE	Price($/hour)	Total Allocation Time	Total Incurred Cost($)
617	ONDEMAND	0.07	3040	0.07
619	ONDEMAND	0.07	3040	0.07
620	ONDEMAND	0.07	3040	0.07
621	ONDEMAND	0.07	3040	0.07
622	ONDEMAND	0.07	3040	0.07
623	ONDEMAND	0.07	3040	0.07
624	ONDEMAND	0.07	3040	0.07
625	ONDEMAND	0.07	3040	0.07
626	ONDEMAND	0.07	3040	0.07
627	ONDEMAND	0.07	3040	0.07
629	ONDEMAND	0.07	3040	0.07
630	ONDEMAND	0.07	3040	0.07
631	ONDEMAND	0.07	3040	0.07
632	ONDEMAND	0.07	3040	0.07
633	ONDEMAND	0.07	3040	0.07
634	ONDEMAND	0.07	3040	0.07
635	ONDEMAND	0.07	3040	0.07
636	ONDEMAND	0.07	3040	0.07
637	ONDEMAND	0.07	3040	0.07
638	ONDEMAND	0.07	3040	0.07
201	ONDEMAND	0.07	6915.73	0.14
216	ONDEMAND	0.07	6892	0.14
218	ONDEMAND	0.07	6892	0.14
251	ONDEMAND	0.07	6864	0.14
252	ONDEMAND	0.07	6864	0.14
259	ONDEMAND	0.07	6864	0.14
267	ONDEMAND	0.07	6864	0.14
269	ONDEMAND	0.07	6864	0.14
274	ONDEMAND	0.07	6864	0.14
280	ONDEMAND	0.07	6864	0.14
285	ONDEMAND	0.07	6864	0.14
293	ONDEMAND	0.07	6864	0.14
298	ONDEMAND	0.07	6864	0.14
299	ONDEMAND	0.07	6864	0.14
300	ONDEMAND	0.07	6864	0.14
301	ONDEMAND	0.07	6864	0.14
302	ONDEMAND	0.07	6864	0.14
303	ONDEMAND	0.07	6864	0.14
304	ONDEMAND	0.07	6864	0.14
305	ONDEMAND	0.07	6864	0.14
308	ONDEMAND	0.07	6864	0.14
309	ONDEMAND	0.07	6864	0.14
375	ONDEMAND	0.07	6864	0.14
376	ONDEMAND	0.07	6864	0.14
377	ONDEMAND	0.07	6864	0.14
379	ONDEMAND	0.07	6864	0.14
385	ONDEMAND	0.07	6864	0.14
389	ONDEMAND	0.07	6864	0.14
428	ONDEMAND	0.07	6864	0.14
441	ONDEMAND	0.07	6864	0.14
445	ONDEMAND	0.07	6864	0.14
451	ONDEMAND	0.07	6864	0.14
453	ONDEMAND	0.07	6864	0.14
455	ONDEMAND	0.07	6864	0.14
461	ONDEMAND	0.07	6864	0.14
474	ONDEMAND	0.07	6864	0.14
488	ONDEMAND	0.07	6864	0.14
490	ONDEMAND	0.07	6864	0.14
506	ONDEMAND	0.07	6864	0.14
514	ONDEMAND	0.07	6864	0.14
518	ONDEMAND	0.07	6864	0.14
521	ONDEMAND	0.07	6864	0.14
