
========== OUTPUT ==========
TaskID	JobID	STATUS	DatacenterID	SlotID	Time	Start Time	Finish Time
185	17	MAP	SUCCESS	2	12920	99.22	2285.78	2385
177	17	MAP	SUCCESS	2	12940	99.22	2285.78	2385
198	17	MAP	SUCCESS	2	12964	99.22	2285.78	2385
216	17	MAP	SUCCESS	2	13000	99.22	2285.78	2385
228	17	MAP	SUCCESS	2	13024	99.22	2285.78	2385
238	17	MAP	SUCCESS	2	13044	99.22	2285.78	2385
241	17	MAP	SUCCESS	2	13049	99.22	2285.78	2385
257	17	MAP	SUCCESS	2	13081	99.22	2285.78	2385
262	17	MAP	SUCCESS	2	13092	99.22	2285.78	2385
171	17	MAP	SUCCESS	2	12808	100.22	2285.78	2386
138	17	MAP	SUCCESS	2	12821	100.22	2285.78	2386
151	17	MAP	SUCCESS	2	12824	100.22	2285.78	2386
129	17	MAP	SUCCESS	2	12836	100.22	2285.78	2386
172	17	MAP	SUCCESS	2	12884	100.22	2285.78	2386
179	17	MAP	SUCCESS	2	12896	100.22	2285.78	2386
154	17	MAP	SUCCESS	2	12908	100.22	2285.78	2386
191	17	MAP	SUCCESS	2	12917	100.22	2285.78	2386
150	17	MAP	SUCCESS	2	12928	100.22	2285.78	2386
208	17	MAP	SUCCESS	2	12984	100.22	2285.78	2386
215	17	MAP	SUCCESS	2	12997	100.22	2285.78	2386
226	17	MAP	SUCCESS	2	13020	100.22	2285.78	2386
235	17	MAP	SUCCESS	2	13037	100.22	2285.78	2386
245	17	MAP	SUCCESS	2	13057	100.22	2285.78	2386
252	17	MAP	SUCCESS	2	13072	100.22	2285.78	2386
256	17	MAP	SUCCESS	2	13080	100.22	2285.78	2386
261	17	MAP	SUCCESS	2	13089	100.22	2285.78	2386
160	17	MAP	SUCCESS	2	12805	101.22	2285.78	2387
146	17	MAP	SUCCESS	2	12832	101.22	2285.78	2387
165	17	MAP	SUCCESS	2	12833	101.22	2285.78	2387
168	17	MAP	SUCCESS	2	12841	101.22	2285.78	2387
130	17	MAP	SUCCESS	2	12849	101.22	2285.78	2387
190	17	MAP	SUCCESS	2	12925	101.22	2285.78	2387
176	17	MAP	SUCCESS	2	12937	101.22	2285.78	2387
194	17	MAP	SUCCESS	2	12956	101.22	2285.78	2387
